k,b,lower_bound
3,0,231
3,5,286
3,10,320
3,15,351
3,20,376
3,25,402
3,30,428
3,35,453
3,40,475
3,45,496
3,50,516
3,55,536
3,60,556
3,65,574
3,70,591
3,75,606
3,80,621
3,85,636
3,90,651
3,95,666
4,0,36
4,5,51
4,10,63
4,15,73
4,20,83
4,25,93
4,30,103
4,35,113
4,40,123
4,45,133
4,50,141
4,55,150
4,60,157
4,65,165
4,70,172
4,75,179
4,80,186
4,85,194
4,90,201
4,95,208
5,0,12
5,5,33
5,10,39
5,15,46
5,20,52
5,25,57
5,30,63
5,35,69
5,40,75
5,45,80
5,50,85
5,55,90
5,60,95
5,65,100
5,70,104
5,75,109
5,80,113
5,85,118
5,90,122
5,95,126
6,0,0
6,5,17
6,10,26
6,15,31
6,20,35
6,25,39
6,30,43
6,35,47
6,40,51
6,45,55
6,50,58
6,55,62
6,60,65
6,65,69
6,70,72
6,75,75
6,80,78
6,85,81
6,90,84
6,95,87
7,0,0
7,5,4
7,10,13
7,15,18
7,20,22
7,25,25
7,30,28
7,35,30
7,40,33
7,45,35
7,50,38
7,55,40
7,60,42
7,65,45
7,70,47
7,75,49
7,80,51
7,85,53
7,90,55
7,95,57
8,0,0
8,5,4
8,10,6
8,15,11
8,20,14
8,25,17
8,30,20
8,35,22
8,40,24
8,45,26
8,50,29
8,55,30
8,60,32
8,65,34
8,70,36
8,75,37
8,80,39
8,85,40
8,90,42
8,95,44
9,0,0
9,5,0
9,10,5
9,15,9
9,20,12
9,25,14
9,30,16
9,35,17
9,40,19
9,45,20
9,50,21
9,55,23
9,60,24
9,65,25
9,70,26
9,75,28
9,80,29
9,85,30
9,90,31
9,95,33
10,0,0
10,5,0
10,10,7
10,15,9
10,20,11
10,25,13
10,30,14
10,35,15
10,40,16
10,45,17
10,50,18
10,55,19
10,60,20
10,65,21
10,70,23
10,75,24
10,80,25
10,85,26
10,90,27
10,95,28
11,0,0
11,5,0
11,10,5
11,15,5
11,20,7
11,25,7
11,30,9
11,35,9
11,40,11
11,45,11
11,50,13
11,55,13
11,60,13
11,65,14
11,70,14
11,75,15
11,80,15
11,85,16
11,90,16
11,95,17
12,0,0
12,5,0
12,10,0
12,15,2
12,20,2
12,25,4
12,30,4
12,35,5
12,40,5
12,45,5
12,50,6
12,55,6
12,60,7
12,65,7
12,70,7
12,75,8
12,80,8
12,85,9
12,90,9
12,95,10
13,0,0
13,5,0
13,10,0
13,15,1
13,20,1
13,25,1
13,30,2
13,35,2
13,40,3
13,45,3
13,50,3
13,55,4
13,60,4
13,65,5
13,70,5
13,75,5
13,80,6
13,85,6
13,90,6
13,95,7
14,0,0
14,5,0
14,10,0
14,15,1
14,20,1
14,25,1
14,30,2
14,35,2
14,40,2
14,45,3
14,50,3
14,55,3
14,60,4
14,65,4
14,70,5
14,75,5
14,80,5
14,85,5
14,90,5
14,95,5
15,0,0
15,5,0
15,10,0
15,15,1
15,20,1
15,25,1
15,30,2
15,35,2
15,40,2
15,45,2
15,50,2
15,55,2
15,60,2
15,65,2
15,70,2
15,75,2
15,80,2
15,85,2
15,90,2
15,95,2
16,0,0
16,5,0
16,10,0
16,15,0
16,20,1
16,25,1
16,30,1
16,35,2
16,40,2
16,45,2
16,50,2
16,55,2
16,60,2
16,65,2
16,70,2
16,75,2
16,80,2
16,85,2
16,90,2
16,95,2
17,0,0
17,5,0
17,10,0
17,15,0
17,20,1
17,25,1
17,30,1
17,35,2
17,40,2
17,45,2
17,50,2
17,55,2
17,60,2
17,65,2
17,70,2
17,75,2
17,80,2
17,85,2
17,90,2
17,95,2
18,0,0
18,5,0
18,10,0
18,15,0
18,20,1
18,25,1
18,30,1
18,35,1
18,40,2
18,45,2
18,50,2
18,55,2
18,60,2
18,65,2
18,70,2
18,75,2
18,80,2
18,85,2
18,90,2
18,95,2
19,0,0
19,5,0
19,10,0
19,15,0
19,20,1
19,25,1
19,30,1
19,35,1
19,40,1
19,45,1
19,50,1
19,55,1
19,60,1
19,65,1
19,70,1
19,75,1
19,80,1
19,85,1
19,90,1
19,95,1