k,b,total_time
3,95,29.18225
3,90,27.71464
3,85,24.61067
3,80,26.71938
3,75,29.37146
3,70,26.59363
3,65,25.06342
3,60,28.00073
3,55,24.65174
3,50,24.92737
3,45,30.17499
3,40,28.04417
3,35,24.90774
3,30,34.41933
3,25,47.78526
3,20,34.12632
3,15,31.23624
3,10,11.95411
3,5,9.770258
3,0,0.312449
4,95,11.72797
4,90,11.29643
4,85,8.840549
4,80,11.15185
4,75,8.39123
4,70,9.13972
4,65,6.943578
4,60,7.431848
4,55,7.509762
4,50,8.114292
4,45,9.436366
4,40,11.1325
4,35,11.26794
4,30,12.3402
4,25,11.39329
4,20,8.725588
4,15,3.453425
4,10,2.393062
4,5,1.384819
4,0,0.23078
5,95,4.26061
5,90,4.552378
5,85,2.876374
5,80,2.458853
5,75,1.567571
5,70,1.214175
5,65,0.921625
5,60,0.921662
5,55,1.058889
5,50,1.307568
5,45,1.193739
5,40,1.042746
5,35,1.055252
5,30,1.439905
5,25,1.107426
5,20,0.833203
5,15,1.031522
5,10,1.365708
5,5,0.728713
5,0,0.218698
6,95,1.359055
6,90,1.16349
6,85,1.388663
6,80,1.103652
6,75,0.59361
6,70,0.665079
6,65,0.838039
6,60,0.515503
6,55,0.515473
6,50,0.686444
6,45,0.45517
6,40,0.593611
6,35,0.406128
6,30,0.452982
6,25,0.406156
6,20,0.400045
6,15,0.640475
6,10,0.374911
6,5,0.373659
6,0,0.140591
7,95,0.312427
7,90,0.322529
7,85,0.296768
7,80,0.249941
7,75,0.359293
7,70,0.281152
7,65,0.400694
7,60,0.281142
7,55,0.296805
7,50,0.218645
7,45,0.281156
7,40,0.218699
7,35,0.258479
7,30,0.203049
7,25,0.233623
7,20,0.296779
7,15,0.187442
7,10,0.232046
7,5,0.249918
7,0,0.156236
8,95,0.265534
8,90,0.218697
8,85,0.281183
8,80,0.203104
8,75,0.234321
8,70,0.156178
8,65,0.203049
8,60,0.171835
8,55,0.203074
8,50,0.171833
8,45,0.20304
8,40,0.187999
8,35,0.202097
8,30,0.29678
8,25,0.234316
8,20,0.268075
8,15,0.228884
8,10,0.265563
8,5,0.187449
8,0,0.140591
9,95,0.156191
9,90,0.171804
9,85,0.171807
9,80,0.140567
9,75,0.156212
9,70,0.203077
9,65,0.156183
9,60,0.1718
9,55,0.140591
9,50,0.171809
9,45,0.156214
9,40,0.156172
9,35,0.140592
9,30,0.140591
9,25,0.140591
9,20,0.156178
9,15,0.171808
9,10,0.187418
9,5,0.156213
9,0,0.152272
10,95,0.135208
10,90,0.124988
10,85,0.124961
10,80,0.14059
10,75,0.140561
10,70,0.156184
10,65,0.140559
10,60,0.156211
10,55,0.124946
10,50,0.140591
10,45,0.125007
10,40,0.150841
10,35,0.156197
10,30,0.140626
10,25,0.140584
10,20,0.140567
10,15,0.12497
10,10,0.12497
10,5,0.124995
10,0,0.124935
11,95,0.135005
11,90,0.124976
11,85,0.124969
11,80,0.124932
11,75,0.124974
11,70,0.124933
11,65,0.140566
11,60,0.109331
11,55,0.140595
11,50,0.140565
11,45,0.12495
11,40,0.135295
11,35,0.12496
11,30,0.109362
11,25,0.140555
11,20,0.124969
11,15,0.124974
11,10,0.140588
11,5,0.124996
11,0,0.109338
12,95,0.124942
12,90,0.124933
12,85,0.124969
12,80,0.156185
12,75,0.140601
12,70,0.124961
12,65,0.119556
12,60,0.109375
12,55,0.124186
12,50,0.12497
12,45,0.124972
12,40,0.140565
12,35,0.124981
12,30,0.140549
12,25,0.109321
12,20,0.124932
12,15,0.124944
12,10,0.156212
12,5,0.124972
12,0,0.1406
13,95,0.140601
13,90,0.124969
13,85,0.124915
13,80,0.109349
13,75,0.12497
13,70,0.109369
13,65,0.124939
13,60,0.135249
13,55,0.109348
13,50,0.109321
13,45,0.124972
13,40,0.124965
13,35,0.124969
13,30,0.124961
13,25,0.140601
13,20,0.124936
13,15,0.124947
13,10,0.119359
13,5,0.109309
13,0,0.109356
14,95,0.124975
14,90,0.109322
14,85,0.124961
14,80,0.124968
14,75,0.124974
14,70,0.109346
14,65,0.140629
14,60,0.109336
14,55,0.109358
14,50,0.109349
14,45,0.124982
14,40,0.12498
14,35,0.140598
14,30,0.109359
14,25,0.109347
14,20,0.109346
14,15,0.124968
14,10,0.140599
14,5,0.124965
14,0,0.124972
15,95,0.125001
15,90,0.125004
15,85,0.124969
15,80,0.12494
15,75,0.109337
15,70,0.124965
15,65,0.155325
15,60,0.109359
15,55,0.124951
15,50,0.109347
15,45,0.124975
15,40,0.124971
15,35,0.109348
15,30,0.140633
15,25,0.109349
15,20,0.124983
15,15,0.124979
15,10,0.124977
15,5,0.140593
15,0,0.12497
16,95,0.109353
16,90,0.109348
16,85,0.124943
16,80,0.109323
16,75,0.124994
16,70,0.124945
16,65,0.108756
16,60,0.124985
16,55,0.109316
16,50,0.135174
16,45,0.109353
16,40,0.130744
16,35,0.124967
16,30,0.109347
16,25,0.12497
16,20,0.135257
16,15,0.124967
16,10,0.10935
16,5,0.140563
16,0,0.109388
17,95,0.124938
17,90,0.10934
17,85,0.124937
17,80,0.124966
17,75,0.124967
17,70,0.124985
17,65,0.109341
17,60,0.124972
17,55,0.124975
17,50,0.109309
17,45,0.124974
17,40,0.109312
17,35,0.124943
17,30,0.124944
17,25,0.124449
17,20,0.10935
17,15,0.124931
17,10,0.109351
17,5,0.140586
17,0,0.12497
18,95,0.124937
18,90,0.140598
18,85,0.124969
18,80,0.109347
18,75,0.124969
18,70,0.124954
18,65,0.124962
18,60,0.109339
18,55,0.140595
18,50,0.124944
18,45,0.140591
18,40,0.109347
18,35,0.124969
18,30,0.124976
18,25,0.124964
18,20,0.125011
18,15,0.109322
18,10,0.122935
18,5,0.124943
18,0,0.125023
19,95,0.124983
19,90,0.109345
19,85,0.109349
19,80,0.10935
19,75,0.203076
19,70,0.156214
19,65,0.181945
19,60,0.10935
19,55,0.124969
19,50,0.109329
19,45,0.124962
19,40,0.154972
19,35,0.109349
19,30,0.156182
19,25,0.156224
19,20,0.171808
19,15,0.140589
19,10,0.140589
19,5,0.140588
19,0,0.151658