instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, prop_10, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 0.0, 2479, 2061, 2551.96, 2551.96, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 0.42
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 0.0, 6049, 6591, 7114.5, 7114.5, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 0.76
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 0.0, 8085, 6985, 8317.44, 8317.44, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 4.56
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 0.0, 8120, 7008, 8187.01, 8187.01, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 3.17
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 0.0, 10848, 13464, 14343.84, 14343.84, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 1.09
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 0.0, 25887, 34706, 36099.5, 36099.5, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 2.41
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 34.52
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 0.0, 72742, 78945, 80801.72, 80801.72, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 1085.12
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 0.0, 100437, 106417, 113017.29, 113017.29, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 14.98
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 0.0, 82847, 152966, 157856.31, 157856.31, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 11.13
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 0.0, 124059, 204031, 210415.12, 210415.12, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 13.8
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 0.0, 221076, 214490, 222144.93, 222144.93, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 471.49
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 0.0, 234446, 231419, 239766.52, 239766.52, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 1137.01
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 0.0, 429949, 492655, 519086.05, 519086.05, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 75.74
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 0.0, 959493, 1055322, 1086242.55, 1086242.55, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 740.94
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 0.0, 895053, 1277646, 1297872.26, 1297872.26, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 976.54
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 0.0, 2672, 1854, 2275.17, 2275.17, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 6.0
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 0.0, 60920, 947, 3524.91, 3524.91, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 3.59
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 0.0, 95668, 15808, 16305.32, 16305.32, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 40.56
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 0.0, 200539, 8161, 16391.29, 16391.29, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 27.45
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 0.0, 329837, 3066, 7285.8, 7285.8, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 372.11
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 0.0, 1138333, 18890, 32862.46, 32862.46, NA, NA, 0, 0, 0, False, False, False, False, False, True, False, 98.1