instance_name, model_type, n, m, k, b, r, BBnodes, var_num, warm_start, num_k_core_nodes, lower_bound, upper_bound, prop_8, prop_9, prop_10, prop_11_reduction, prop_11_iterations, prop_11_run_time, relax, fractional_callback, total_time
facebook_combined, base_model, 4039, 88234, 17, 250, NA, 1.0, 8078, False, 0, 2533.0, 2533.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 18.2
CA-HepPh, base_model, 12006, 118489, 4, 250, NA, 1.0, 24012, False, 0, 6978.0, 6978.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 7.59
socfb-Syracuse56, base_model, 13653, 543982, 46, 250, NA, 279.0, 27306, False, 0, 7608.0, 7774.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3655.83
socfb-Northeastern19, base_model, 13882, 381934, 33, 250, NA, 486.0, 27764, False, 0, 7583.0, 7648.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3688.41
CA-CondMat, base_model, 23133, 93439, 4, 250, NA, 1.0, 46266, False, 0, 13939.0, 13939.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 30.55
Brightkite_edges, base_model, 58228, 214078, 2, 250, NA, 15.0, 116456, False, 0, 35267.0, 35267.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 53.59
flickrEdges, base_model, 105938, 2316948, 4, 250, NA, 1.0, 211876, False, 0, 105388.0, 105388.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 111.81
soc-catster.e, base_model, 149684, 5448197, 21, 250, NA, 39.0, 299368, False, 0, 79561.0, 79567.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3677.69
Gowalla_edges, base_model, 196591, 950327, 3, 250, NA, 1.0, 393182, False, 0, 107299.0, 107299.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 180.94
ca-citeseer, base_model, 227320, 814134, 3, 250, NA, 1.0, 454640, False, 0, 153765.0, 153765.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 280.31
com-dblp.ungraph, base_model, 317080, 1049866, 3, 250, NA, 1.0, 634160, False, 0, 204857.0, 204857.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 345.07